threshold,n_selected,pct_of_all,precision,recall,f1,actual_win_rate,avg_ev_per_trade,total_ev_if_all_done,avg_max_profit_pct
0.5,257983,75.61004917907866,0.9891388192245225,0.8504020715097427,0.9145387363946859,0.9891388192245225,1612.939802235031,416111049.0,0.7401656932549538
0.55,246262,72.17484071019513,0.9921140898717626,0.8142073042713225,0.894399569493331,0.9921140898717626,1677.998278256491,413227212.0,0.7701157199829235
0.6,233531,68.44361990844133,0.9944761080969978,0.7739534976722175,0.8704652531287363,0.9944761080969978,1741.0251486954623,406583344.0,0.7963810737975089
0.65,219837,64.43016160514887,0.9962517683556453,0.7298705972919742,0.8425067511944421,0.9962517683556453,1809.8818124337577,397878988.0,0.8199451918403987
0.7,204375,59.89853517857456,0.9974752293577982,0.6793692159522247,0.8082490494522704,0.9974752293577982,1884.2025272171254,385083891.5,0.8415698188751899
0.75,186914,54.78103879813131,0.9983575334110875,0.6218761559764189,0.7663767877860714,0.9983575334110875,1967.8080641364477,367810876.5,0.8613242876050486
0.8,166772,48.877790868752236,0.9990406063367951,0.555241926077495,0.7137817210496891,0.9990406063367951,2073.52792435181,345806399.0,0.8845251134631439
0.85,142829,41.86054009062081,0.999481897933893,0.47573740881324755,0.6446376157146083,0.999481897933893,2190.761865587521,312904326.5,0.9032397550304965
0.9,113051,33.13315865674879,0.9998319342597589,0.3766841847429442,0.5472088148295177,0.9998319342597589,2357.1929262014487,266483017.5,0.9257681288966265
0.92,97910,28.69561139735406,0.9999080788479215,0.32625945192970995,0.49198831099977136,0.9999080788479215,2450.1732305178225,239896461.0,0.9355689910612365
0.95,70278,20.597182900451934,0.9999288539799084,0.23418790886156943,0.3794960969247926,0.9999288539799084,2646.4824625060473,185989494.5,0.9489511898568476
0.97,46444,13.611878007749075,0.9999784686934803,0.15477337030236177,0.2680576598415653,0.9999784686934803,2918.1094113340796,135528673.5,0.9570942305073125
0.99,15262,4.473010123035621,0.9999344777879702,0.05085796361527772,0.09679291415741455,0.9999344777879702,3464.3035316472283,52872200.5,0.9649686036693668
